Verb_Address	Verb_Afun	Verb_Tag	Sbj_Tag	Pnom_Tag	Verb_Lemma	isValid	note
1007.15	Pred	v3srie---	v--pna---	a-p---na-	#Reconstructed	0	annotation error
1038.2	Pred	v3ppia---	n-p---fn-	a-p---fn-	#Reconstructed	1	
1042.9	Pred	v3piia---	n-p---mn-	n-p---mn-	#Reconstructed	0	gapping
1047.17	Atr	v-sfpmfg-	l-s---fg-	n-s---fg-	#Reconstructed	0	gapping
1054.12	Adv	---------	v--pna---	n-s---fn-	#Reconstructed	1	
1055.7	Atr	v3spia---	p-s---nn-	p-p---md-	#Reconstructed	0	gapping
1068.2	Pred	v3ppia---	n-p---fn-	p-p---fn-	#Reconstructed	1	
1077.2	Pred	v3ppia---	n-p---fn-	p-p---fn-	#Reconstructed	1	
1110.9	Obj	---------	p-p---na-	a-p---nac-----	#Reconstructed	0	annotation error
1156.14	Pnom	v3spia---	p-s---nn-	n-p---mg-	#Reconstructed	0	gapping
1195.46	Pred	v3siia---	n-s---fn-	v-sapmfn-	#Reconstructed	1	
1.2	Pred	v3spia---	p-s---fn-	n-s---fn-	#Reconstructed	1	
1263.2	Pred	v3spia---	n-s---fn-	n-s---nn-	#Reconstructed	1	
1265.2	Pred	v3spia---	n-s---fn-	n-s---nn-	#Reconstructed	1	
1275.17	Atr	---------	n-p---fn-	a-p---fn-	#Reconstructed	1	
1284.32	Pred	---------	n-s---nn-	v-srpenn-	#Reconstructed	1	
1290.28	Pred	v3spia---	n-s---nn-	v-srpmnn-	#Reconstructed	1	
1301.41	Obj	v--pna---	n-s---nn-	d--------	#Reconstructed	1	
1356.2	Pred	v3spia---	n-s---fn-	a-s---fn-	#Reconstructed	1	
1394.7	Pred	v3spia---	a-s---mns	p-s---mn-	#Reconstructed	1	
1413.9	Pred	v3ppia---	n-p---mn-	a-p---mn-	#Reconstructed	1	
1554.2	Pred	v3spia---	p-s---mn-	n-s---mn-	#Reconstructed	1	
194.12	Pred	---------	n-s---fn-	p-s---fn-	#Reconstructed	0	annotation error
215.1	Pred	v3ppia---	a-p---mn-	a-p---mn-	#Reconstructed	0	gapping
217.6	Pred	v3spia---	l-s---mn-	a-s---mnc	#Reconstructed	1	
222.2	Pred	v3spia---	p-s---fn-	a-s---fn-	#Reconstructed	1	
231.13	Atr	---------	a-s---mn-	a-s---mn-	#Reconstructed	0	gapping
26.16	Obj	v--pna---	v--anm---	a-p---mg-	#Reconstructed	0	gapping
26.24	Obj	v--pna---	v--pna---	a-p---mg-	#Reconstructed	0	gapping
273.2	Pred	---------	v--pna---	n-s---fn-	#Reconstructed	1	
305.2	Pred	---------	p-p---nn-	n-p---nn-	#Reconstructed	1	
326.16	Pred	v3spia---	p-p---nn-	n-p---nn-	#Reconstructed	1	
326.5	Pred	v3spia---	n-p---nn-	n-s---mg-	#Reconstructed	1	
355.9	Pred	---------	l-s---nn-	a-s---nn-	#Reconstructed	1	
455.26	Obj	---------	n-s---nn-	n-s---na-	#Reconstructed	0	gapping
47.17	Pred	---------	n-p---ma-	a-s---mn-	#Reconstructed	0	gapping
49.36	Pred	---------	n-s---mn-	v-sppemn-	#Reconstructed	0	annotation error
595.2	Pred	---------	v--pna---	a-s---nnc	#Reconstructed	1	
628.2	Pred	v3spia---	p-s---nn-	p-s---md-	#Reconstructed	1	
634.2	Pred	---------	p-p---nn-	a-p---nn-	#Reconstructed	1	
648.9	Obj	---------	n-s---mn-	v--pna---	#Reconstructed	1	
659.9	Obj	v--pna---	p-s---ma-	a-s---ma-	#Reconstructed	0	annotation error
678.18	Atr	v3spia---	n-s---nn-	n-s---nn-	#Reconstructed	0	gapping
725.15	Pred	v3ppia---	n-p---mn-	a-p---mn-	#Reconstructed	0	gapping
725.21	Pred	v3ppia---	n-p---mn-	a-p---mn-	#Reconstructed	0	gapping
725.27	Pred	v3ppia---	n-p---mn-	a-p---mn-	#Reconstructed	0	gapping
725.32	Pred	v3ppia---	n-p---mn-	a-p---mn-	#Reconstructed	0	gapping
747.21	Pred	v3spia---	v--ana---	a-s---nn-	#Reconstructed	0	gapping
754.15	Atr	---------	a-p---nn-	n-s---fg-	#Reconstructed	1	
1005.4	Obj	v--pna---	v--pna---	v-srpana-	εἰμί		
1007.24	Obj	v--pna---	v--pna---	a-s---fa-	εἰμί		
1032.6	Atr	v3spia---	n-s---nn-	p-p---mg-	εἰμί		
1041.19	Pred	v3siia---	p-s---nn-	a-s---nn-	εἰμί		
1042.4	Pred	v3piia---	n-p---mn-	a-p---mn-	εἰμί		
1043.14	Adv	v-sppamg-	n-s---ng-	a-s---ng-	εἰμί		
1044.1	Pred	v3siia---	n-s---nn-	a-s---nn-	εἰμί		
1049.4	Atr	v3siia---	n-s---mn-	n-s---nn-	εἰμί		
1052.18	Adv	v3siia---	n-p---nn-	a--------	εἰμί		
1053.2	Pred	v3spia---	a-p---nn-	n-p---nn-	εἰμί		
1055.3	Pred	v3ppia---	n-p---mn-	n-s---fn-	εἰμί		
1058.1	Pred	v3siia---	p-p---nn-	v-pppenn-	εἰμί		
1060.13	Pred	v3ppma---	v-prpamn-	n-p---mn-	εἰμί		
1061.1	Pred	v3ppia---	a-p---mn-	n-p---mn-	εἰμί		
1064.1	Pred	v3spia---	n-s---nn-	n-s---mn-	εἰμί		
1065.1	Pred	v3spia---	n-s---fn-	n-s---fn-	εἰμί		
1067.3	Pred	v3ppia---	p-p---fn-	n-p---fn-	εἰμί		
1070.1	Pred	v3piia---	p-p---fn-	x--------	εἰμί		
1082.1	Pred	v3siia---	p-p---nn-	v-pppenn-	εἰμί		
1082.29	Atr	v3siia---	n-s---mn-	n-s---nn-	εἰμί		
1086.13	Atr	v3siia---	n-p---ma-	n-s---nn-	εἰμί		
1087.14	Obj	v-pppamn-	n-p---mn-	p-p---mn-	εἰμί		
1089.6	Atr	v3spia---	n-s---mn-	v-srpemn-	εἰμί		
1092.11	Pred	v3spia---	n-s---fn-	p-p---md-	εἰμί		
1098.1	Pred	v3sfim---	n-s---nn-	p-s---nn-	εἰμί		
1100.3	Obj	v3spsa---	v--ane---	n-s---nn-	εἰμί		
110.3	Adv	v3siia---	n-s---mn-	a-s---mn-	εἰμί		
1106.4	Pred	v3spia---	n-s---fg-	v-sppamn-	εἰμί		
1113.19	Obj	v--pna---	n-s---ma-	d--------	εἰμί		
1117.1	Pred	v3siia---	n-s---nn-	d--------	εἰμί		
1118.1	Pred	v3spia---	n-s---mn-	n-s---fg-	εἰμί		
1122.35	Atr	v3siia---	n-s---mn-	p-p---mg-	εἰμί		
1129.1	Atr	v3siia---	n-p---nn-	v-prpenn-	εἰμί		
1142.1	Pred	v3spia---	n-s---mn-	n-s---mg-	εἰμί		
1144.1	Pred	v3siia---	n-s---mn-	v-sppemn-	εἰμί		
114.9	Adv	v--pna---	n-s---nn-	n-s---fg-	εἰμί		
1151.12	Pred	v3ppia---	p-p---mn-	v-papamn-	εἰμί		
1153.15	Atr	v3siia---	n-s---mn-	n-s---nn-	εἰμί		
1156.4	Pred	v3ppia---	n-p---mn-	n-s---fn-	εἰμί		
1165.13	Atr	v3siia---	n-s---fn-	n-s---nn-	εἰμί		
1175.1	Pred	v3piia---	v-pppafn-	a-p---fn-	εἰμί		
118.1	Pred	v3siia---	n-s---mn-	v-sapamn-	εἰμί		
1195.57	ExD	v--pna---	---------	a-s---nn-	εἰμί		
1198.1	Pred	v3ppia---	n-p---mn-	p-p---mg-	εἰμί		
1199.17	Atr	v1spia---	p1s---mn-	a-s---mn-	εἰμί		
1201.1	Pred	v3siia---	n-s---nn-	a-s---nns-----	εἰμί		
1203.21	Pred	v3ppia---	p-p---mn-	v-papmmn-	εἰμί		
1203.4	Pred	v3ppia---	n-p---mn-	v-papamn-	εἰμί		
1207.13	Obj	v--pna---	p-p---ma-	n-p---ma-	εἰμί		
1211.3	Pred	v3ppia---	n-p---mn-	a-p---mn-	εἰμί		
1213.1	Pred	v3spia---	v--pne---	a-s---nn-	εἰμί		
1217.3	Pred	v3siia---	p-s---fn-	n-s---mn-	εἰμί		
1228.51	Adv	v-sppafg-	n-s---fg-	a-s---mg-	εἰμί		
1230.1	Pred	v3spia---	n-s---mn-	d--------	εἰμί		
1236.1	Pred	v3piia---	n-p---mn-	v-pppamn-	εἰμί		
1239.18	Atr	v3spia---	n-s---nn-	n-s---fn-	εἰμί		
1243.1	Pred	v3ppia---	a-p---mn-	n-p---mn-	εἰμί		
1253.15	Pred	v3spia---	n-s---nn-	p-s---nn-	εἰμί		
1255.1	Pred	v3spia---	n-s---mn-	a-s---mnc-----	εἰμί		
1262.1	Pred	v3spia---	n-p---fa-	v-sppafn-	εἰμί		
1264.1	Pred	v3spia---	n-s---mn-	d--------	εἰμί		
1269.7	Atr	v3spia---	n-s---nn-	n-s---mn-	εἰμί		
1276.1	Pred	v3piia---	p-p---fn-	a-p---fn-	εἰμί		
1277.3	Pred	v3spia---	n-s---nn-	n-s---mn-	εἰμί		
1288.1	Pred	v3spia---	n-s---nn-	d--------	εἰμί		
1290.1	Pred	v3spia---	n-s---mn-	d--------	εἰμί		
1299.6	Atr	v3siia---	n-s---fn-	n-s---nn-	εἰμί		
1301.8	Atr	v3siia---	n-s---fn-	n-s---nn-	εἰμί		
1303.1	Pred	v3spia---	n-s---fn-	n-s---nn-	εἰμί		
1305.15	Atr	v3spia---	p-s---na-	a-s---na-	εἰμί		
1309.21	Adv	v3spoa---	n-s---mn-	a-s---mn-	εἰμί		
1309.31	Adv	v3ppsa---	n-p---mn-	a-p---mn-	εἰμί		
1312.33	Pred	v3siia---	p-s---nn-	a-s---nn-	εἰμί		
