#SENTENCE ID	# VERB – LEMMA	# PART – LEMMA
a-tlg0060.tlg001-11.29.4-s9651-w0	#Reconstructed	εἰμί
a-tlg0543.tlg001-1.74-s13085-w0	#Reconstructed	στρατοπεδεύω
a-tlg0543.tlg001-10.46.8-s29087-w0	αἴρω	διασαφέω
a-tlg0008.tlg001-12.48-s16266-w0	βασιλεύω	γίγνομαι
a-tlg0016.tlg001-1.206-s6928-w0	βασιλεύω	παύω
a-tlg0007.tlg015--s27254-w0	βασιλεύω	γίγνομαι
a-tlg0003.tlg001-1.107.2-s23406-w0	βοηθέω	ἡγέομαι
a-tlg0543.tlg001-1.33-s12641-w0	βουλεύω	προίστημι
a-tlg0003.tlg001-1.114.1-s23449-w0	ἀγγέλλω	διαβαίνω
a-tlg0016.tlg001-1.22-s5590-w0	ἀγγέλλω	εἶδον
a-tlg0016.tlg001-1.43-s5748-w0	ἀγγέλλω	γίγνομαι
a-tlg0060.tlg001-11.37.3-s9732-w0	ἡγέομαι	κατοικίζω
a-tlg0003.tlg001-1.18.2-s22845-w0	ἡγέομαι	προέχω
a-tlg0543.tlg001-1.27-s12565-w0	ἡγέομαι	ἔχω
a-tlg0008.tlg001-12.21-s15972-w0	γίγνομαι	μηνίζω
a-tlg0007.tlg004-24.3-s33798-w0	δείκνυμι	συμπάρειμι1
a-tlg0543.tlg001-9.39.4-s26478-w0	δεκατεύω	κρατέω
a-tlg0540.tlg015-1-12-s33450-w0	δέομαι	ἐνθυμέομαι
a-tlg0543.tlg001-9.42.5-s26503-w0	δέομαι	ἁλίσκομαι
a-tlg0543.tlg001-9.42.5-s26503-w0	δέομαι	συναθροίζω
a-tlg0016.tlg001-1.59-s5831-w0	δέω1	εὐδοκιμέω
a-tlg0007.tlg004-25.3-s33808-w0	δέω1	ἐξίστημι
a-tlg0008.tlg001-12.19-s15964-w0	δέω2	λέγω2
a-tlg0003.tlg001-1.119-s23477-w0	δέω2	δείδω
a-tlg0543.tlg001-10.19.8-s28806-w0	δηλόω	γίγνομαι
a-tlg0543.tlg001-10.44.2-s29047-w0	δηλόω	κατεπείγω
a-tlg0543.tlg001-1.72-s13062-w0	διαλύω	προσοφείλω
a-tlg0003.tlg001-1.143.5-s23668-w0	διαμάχομαι	ὀργίζω
a-tlg0060.tlg001-11.88.3-s10246-w0	διανέμω	παρέρχομαι
a-tlg0008.tlg001-13.64-s14974-w0	διανεύω	παρακολουθέω
a-tlg0060.tlg001-11.24.2-s9586-w0	διασαφέω	διασῴζω
a-tlg0060.tlg001-11.24.2-s9586-w0	διασαφέω	ποιέω
a-tlg0543.tlg001-10.42.7-s29032-w0	διασαφέω	γίγνομαι
a-tlg0543.tlg001-9.8.6-s26139-w0	διασαφέω	συμβαίνω
a-tlg0543.tlg001-1.46-s12797-w0	διασαφέω	κατεπείγω
a-tlg0543.tlg001-1.60-s12935-w0	διασαφέω	εἰμί
a-tlg0060.tlg001-11.15.1-s9487-w0	δίδωμι	κρατέω
a-tlg0540.tlg015-1-12-s33464-w0	δίδωμι	εἰμί
a-tlg0008.tlg001-13.35-s14515-w0	δίδωμι	γίγνομαι
a-tlg0008.tlg001-13.36-s14527-w0	δίδωμι	εἰσέρχομαι
a-tlg0008.tlg001-13.45-s14672-w0	δίδωμι	λαμβάνω
a-tlg0016.tlg001-1.73-s5957-w0	δίδωμι	φέρω
a-tlg0016.tlg001-1.86.6-s6067-w0	δίδωμι	γίγνομαι
a-tlg0016.tlg001-1.97.2-s6167-w0	δίδωμι	λέγω2
a-tlg0007.tlg015--s27347-w0	δίδωμι	συνίστημι
a-tlg0007.tlg004-2.2-s33478-w0	δίδωμι	γίγνομαι
a-tlg0008.tlg001-12.80-s16727-w0	διηγέομαι	γίγνομαι
a-tlg0016.tlg001-1.68-s5913-w0	διώκω	ἐπιφέρω
a-tlg0060.tlg001-11.29.1-s9646-w0	δοκέω	ἐπανέρχομαι
a-tlg0060.tlg001-11.29.2-s9647-w0	δοκέω	συνάγω
a-tlg0003.tlg001-1.9.3-s22789-w0	δοκέω	συνάγω
a-tlg0008.tlg001-13.84-s15267-w0	δοκέω	λαμβάνω
a-tlg0016.tlg001-1.99.2-s6186-w0	δοκέω	ὁράω
a-tlg0540.tlg012-13-s21386-w0	δοκέω	ὑπάρχω
a-tlg0540.tlg012-15-s21392-w0	δοκέω	ἐνθυμέομαι
a-tlg0543.tlg001-9.22.10-s26285-w0	δοκέω	λέγω3
a-tlg0543.tlg001-9.36.2-s26431-w0	δοκέω	γίγνομαι
a-tlg0540.tlg001-1-50-s20954-w0	δοκέω	θνήσκω
a-tlg0059.tlg001-urn:cts:greekLit:tlg0059.tlg001:1-s7270-w0	δοκέω1	λέγω3
a-tlg0059.tlg001-urn:cts:greekLit:tlg0059.tlg001:1-s7293-w0	δοκέω1	δείδω1
a-tlg0008.tlg001-12.81-s16734-w0	ἥδομαι	εἰμί
a-tlg0016.tlg001-1.56-s5808-w0	ἥδομαι	ἐλπίζω
a-tlg0540.tlg012-92-s21579-w0	δουλεύω	νικάω
a-tlg0007.tlg004-7.2-s33547-w0	δράω	ἐθέλω
a-tlg0007.tlg004-25.2-s33807-w0	ἱδρύω	ἐμβάλλω
a-tlg0016.tlg001-1.54-s5801-w0	δωρέομαι	πέμπω
a-tlg0543.tlg001-10.18.6-s28790-w0	δωρέομαι	πρέπω
a-tlg0059.tlg001-urn:cts:greekLit:tlg0059.tlg001:1-s7400-w0	δωροφορέω1	δίδωμι1
a-tlg0007.tlg015--s27056-w0	ειπιτίθημι	προέρχομαι
a-tlg0543.tlg001-1.79-s13143-w0	εἰμί	ἔοικα
a-tlg0007.tlg004-3.3-s33490-w0	εἰμί	προστάσσω
