Dep_Lemma	Head_Lemma	Count
%	0.4	1
%	0.6	1
%	0.7	1
%	0.75	1
%	0.8	1
%	0،9	1
%	1.3	1
%	1.56	1
%	1.6	1
%	1.7	1
%	10	12
%	100	4
%	11.3	1
%	11.4	1
%	12	5
%	123	1
%	13	3
%	13.3	1
%	14	8
%	14.5	1
%	148	1
%	15	5
%	15.2	1
%	15.4	1
%	15.7	1
%	150	1
%	16	2
%	16.4	1
%	16.9	1
%	17	1
%	17.1	1
%	17.4	1
%	17.5	1
%	173	1
%	18.3	1
%	18.5	1
%	19	2
%	19.15	1
%	19.8	1
%	190	2
%	19،9	1
%	1،5	1
%	2	2
%	2.6	1
%	2.7	1
%	2.8	2
%	2.97	1
%	20	9
%	21	3
%	21.6	2
%	22	4
%	22.8	1
%	23	2
%	23.3	1
%	24	1
%	25	9
%	27	4
%	28	3
%	28.5	1
%	28.7	1
%	29	2
%	3	6
%	3.2	2
%	3.5	1
%	3.69	1
%	30	6
%	31	1
%	33	1
%	34	1
%	34.5	1
%	35	4
%	36	1
%	37	3
%	39	2
%	4	1
%	4.5	1
%	4.6	2
%	40	9
%	41،5	1
%	43	2
%	45	2
%	46	3
%	48	3
%	5	3
%	5.2	2
%	5.5	2
%	5.6	1
%	50	11
%	51	2
%	51.8	1
%	52	2
%	55	2
%	57	1
%	58.3	1
%	6	3
%	6.2	1
%	6.5	2
%	60	5
%	60.09	1
%	60.8	1
%	61.2	1
%	63	1
%	66	2
%	66.9	1
%	68	3
%	7	2
%	7.1	2
%	7.20	1
%	7.49	2
%	7.8	1
%	7.99	1
%	70	5
%	72	1
%	74	1
%	74.7	1
%	75	7
%	7،5	1
%	8	4
%	8.2	1
%	8.594	1
%	8.80	1
%	8.85	1
%	80	7
%	85	4
%	87	1
%	88	1
%	9	2
%	9.6	1
%	9.66	1
%	9.9	1
%	90	8
%	92	1
%	95	3
%	99	1
%	99.2	1
%	99.8	1
+	001	2
+	002	2
+	2	1
+	بيان	4
+	جَمع	2
+	روبو	2
+	روم	2
+	سلام	2
+	شهاب	4
+	ميغ	4
+	نَفط	2
/	17	1
/	آب	1
/	اسوشيتد	2
/	تَمُّوز	1
/	خَرِيطَة	2
/	خَمِيس	1
/	سِي	1
/	قاو	2
0	نِيقُوسِيَا	1
0.4	نِسبَة	1
0.6	مَثَّل	1
0.7	اِرتَفَع	1
0.75	وَصَل	1
0.8	تَوَزَّع	1
00	11	1
00	81	1
001	رِحلَة	1
002	رِحلَة	1
01	38	1
01	628،1	1
02	55	1
02	ثَالِث	1
03	08	1
03	09	1
03	تَوقِيت	1
03،50	سَاعَة	1
04	09	1
04	10	1
06	08	1
06	09	1
06	مُسَجَّل	1
07	بِكِين	2
07	زَمَن	1
07	شنتشن	1
07	هوهيهوت	1
08	08	1
08	آبَاد	1
08	بَغدَاد	1
08	شانتو	1
08	شنيانغ	2
08	شيامن	1
08	شَانغهَاي	1
08	غزة	1
08	قوانغتشو	1
08	قَاهِرَة	1
08	كُونغ	1
08	لَندَن	1
09	09	1
09	أُوتَاوَا	1
09	بِكِين	3
09	تشانغتشون	1
09	دَوحَة	1
09	رُومَا	1
09	شَانغهَاي	1
09	عَمَّان	1
09	قَاهِرَة	2
09	قُدس	1
09	لَندَن	1
09	هاربين	1
09	وَاشِنطُن	2
0،9	1،5	1
1	1	4
1	10	1
1	18	1
1	2	6
1	2.8	1
1	3	2
1	31	1
1	4	2
1	5	1
1	58	1
1	6	9
1	آبَاد	1
1	أَبرَامس	1
1	انقرة	1
1	بَارِيس	1
1	بِكِين	1
1	بِي	1
1	تَعَادُل	2
1	تَوَلَّى	1
1	خَسَارَة	1
1	رَقم	1
1	سَجَّل	1
1	سَعُودِيَّة	1
1	صفر	2
1	كَان	1
1	مُبَارَاة	1
1	وفوز	1
1	يَوم	4
1,047	حَدّ	1
